Vietnamese,Bahnar
"Kjung öêng ‘yuêng koâng ngheâ thoâng tin söê poâk xuoân tôdrong baêt oeêng tôdrong pôm trô troê tôdrong ñôêng Ñang, chinh sach phap luaât ñôêng kôpal, poâk xuoân tôdrong baêt aên naê ma kon koâng söê pôjing kinh teâÊ xa hoâi","Tăng cường ứng dụng công nghệ thông tin để nâng cao nhận thức và ý thức tự giác chấp hành chủ trương, đường lối của Đảng, chính sách pháp luật của Nhà nước, nâng cao kiến thức cho đồng bào dân tộc thiểu số để phát triển kinh tế xã hội"
Kjung ưng yung rim kông nghê vei jư chât thai nông nghiêp jơh đep  ăn 'boh ơi thu 'yok;,Tăng cường ứng dụng các công nghệ quản lý chất thải nông nghiệp đã được chứng minh có hiệu quả;
"Kjung ưng yung, tơp'lih tiên 'bô, khoa hok kông nghê tơ'mut chê 'biên, vei jư nông san păng kơ yơi hoa nông nghiêp;","Tăng cường ứng dụng, chuyển giao tiến bộ, khoa học công nghệ vào chế biến, bảo quản nông sản và cơ giới hóa nông nghiệp;"
"Klak bôêu: Dônoê teh bröê jrôêu tôhngam jiêt phaân traêm teh taâng maêt koâng ‘baêl jiêt phôêng chuoâng hoai; Dônoê teh ôêi tôdrong kô giôêi deâh jrôêu drôêu jiêt tôhngam truh drôêu jiêt tôxiênh phaân traêm teh taâng maêt koâng ‘baêl jiêt phaân traêm chuoâÊh koâng minh jiêt phaân traêm phôêng chuoâng hoai koâng minh truh ‘baêl phaân traêm Supe laân; Dônoê teh ôêi lö buk, tôdrong kô giôêi ñôêng ‘biêa truh trung ‘binh, jrôêu tôxiênh jiêt phaân traêm teh taâng maêt koâng tôhngam truh tôxiênh phaân traêm phôêng chuoâng hoai koâng minh truh ‘baêl phaân traêm Supe laân","Ruột bầu: Nơi đất bạc màu trộn 80% đất tầng mặt + 20% phân chuồng hoai; Nơi đất có thành phần cơ giới nặng trộn 68-69% đất tầng mặt + 20% cát +10% phân chuồng hoai + 1-2% Supe lân; Nơi đất có nhiều mùn, thành phần cơ giới từ nhẹ đến trung bình, trộn 90% đất tầng mặt + 8-9% phân chuồng hoai + l-2% Supelân."
Klong thuy lôi Ñinh Binh ôi dung löông ñak hmong kjung truh 226 trieâu met khoâi,Hồ thủy lợi Định Bình có dung lượng nước chứa lên đến 226 triệu mét khối
"Koan ly̆,''bao koan, tu 'bô, phuk hôi rim yi tich lich sư, văn hŏa xưm yanh lam thăng kanh  thuôk sơ hưu dĭ đe teh đak jơh đĕi xêp hang tơ apung teh cham tinh tĭa phân kâp xưm kuy đĭnh dĭ phap luât","Quản lý, bảo quản, tu bổ, phục hồi các di tích lịch sử, văn hóa và danh lam thắng cảnh thuộc sở hữu nhà nước đã được xếp hạng trên địa bàn tỉnh theo phân cấp và quy định của pháp luật."
Koan Điêm,Quan điểm
Koan điêm tơ'yung pôk xuôn hnam oĕi,Quan điểm phát triển nhà ở
Kon Anh hung lao ñoâng: ñeêi koâng pôñaêm ñieâm tômöt keât qua ñieâm thi lôêm vong ‘baêl,Con Anh hùng Lao động: Được cộng 5 điểm vào kết quả điểm thi tại vòng 2;
Kon bơne mĭ,Con cảm ơn mẹ
Kon bơngai lỡm teh đak bơn sơbổ minh tơdrung tơblah 'bet ayă mơng kơtang ară agẽi pơnam tơnui pơm sa,"Nhân dân ta không những anh dũng, kiên cường trong chiến đấu mà còn cần cù, chịu khó trong lao động."
Kon dyong liêm to,Cô gái đẹp kia
Kon dyŏng; mĭ 'bă ơ̆i kon ala minh jĭt drâu xơnăm; kan 'bô̆ Hô̆i kon dyŏng xưm rim kơ koan triên khai đê an rim kâp.,Phụ nữ; Cha mẹ có con dưới 16 tuổi; Cán bộ Hội Phụ nữ và các cơ quan triển khai Đề án các cấp.
Kon hưch bơne kơ mĭ,Con cảm ơn mẹ
"Kon mon adrech kon kông atung tia hok rim trương mâm non, phô thông lơm apung tinh 'Binh Đinh","Con dân tộc thiểu số đang theo học các trường mầm non, phổ thông trên địa bàn tỉnh Bình Định"
Kon pơleĭ bu kŭng 'lâng,"Dân bản, ai cũng tốt"
Kon pơlĕi đĭ đăng bu kung lâng liêm,"Dân bản, ai cũng tốt"
"Kon tôring Lang 6 xa Vinh Thuaân hôdôi ky cam keât pôtho khan adring ñoan keât sö jö vei moâi tröông kse uoâil ieâl, alöng lieâm oei cham pôlei","Nhân dân Làng 6, xã Vĩnh Thuận đều ký cam kết sẽ cùng đoàn kết để bảo vệ môi trường xanh sạch đẹp ở địa phương"
"Kon tôring dach ñoan keât tôjroh pôm choh jang, kjung pôm bôdrong, adriêng ti pôm rim tôdrong tôjung pôm cham pôlei anao","Nhân dân luôn đoàn kết thi đua lao động sản xuất, vươn lên làm giàu, chung tay thực hiện các tiêu chí xây dựng nông thôn mới"
"Kon tôring lui tômöt tôdrong ñông Dang, chinh sach phap luaât ñông kôpal; pôjaêng adring tôjung pôm Ñang, tôjung pôm khul pôgôl, pôgloh la trong glong tôjung pôm cham pôlei anao ñei pônhroh ôi thu yok, pôgop tôdrong pôm tôplih tôdrong cham pôlei lôm tôring, pôgop tôdrong pôgloh poâk xuoân tôdrong baêt ñông ñi ñaêng xa hoâi lôm vai tro ñông vaên hoa adring tôdrong pôjing","Nhân dân tin tưởng vào chủ trương của Đảng, chính sách pháp luật của Nhà nước; tích cực tham gia xây dựng Đảng, xây dựng chính quyền, nhất là phong trào xây dựng Nông thôn mới được triển khai có hiệu quả, góp phần thay đổi diện mạo nông thôn trên địa bàn, góp phần quan trọng nâng cao nhận thức của toàn xã hội về vai trò của văn hóa đối với sự phát triển"
"Kon ñeh ñôêng bôngai pôm kach mang ‘bi nhieâm chaât ñoâÊk hoêa hoêk, kon Anh hung löêk löông vu trang","Con đẻ của người hoạt động kháng chiến bị nhiễm chất độc hóa học, con Anh hùng Lực lượng vũ trang"
"Kon ñôêng thöông ‘binh loai B, kon ñôêng bôngai pôm kach mang adrol toâng khôi nghia (ñôêng ‘naêr minh jiêt tôxiênh kheêi tôhngam sônaêm minh ôbôêu tôxiênh hrieâng puoân jiêt pôñaêm truh adrol ‘noh)","Con của thương binh loại B, con của người hoạt động cách mạng trước tổng khởi nghĩa (từ ngày 19 tháng 8 năm 1945 trở về trước),"
Koâng adriêng ñieâm öu tieân (tôêng ôêi) dang dang adriêng oei tôdrong atuêch waê tueân juêng thoi bôngai ôêi thu ‘yoêk ñieâm thi vong ‘baêl lö loi la bôngai troê tueân,Cộng với điểm ưu tiên (nếu có) bằng nhau ở chỉ tiêu cuối cùng cần tuyển dụng thì người có kết quả điểm thi vòng 2 cao hơn là người trúng tuyển;
Koâng an tinh,Công an tỉnh
"Koâng an tinh pôgôl, adriêng khul pôgôl cham pôlei tômaên tôl an ninh traât tö, an toan xa hoâi jônang ôêi leêch thieân tai","Công an tỉnh chủ trì, phối hợp với chính quyền địa phương bảo đảm an ninh trật tự, an toàn xã hội khi xảy ra thiên tai."
"Koâng an tinh tôjung pôm koâng ngheâ thoâng tin söê pôtho khan, poâk xuoân tôdrong baêt lôêm naê ma kon koâng, tôguêm naê ma roâp baêt thoâng tin lôêm an ninh, traât tö oeêng chu ñoâng phong dôêt, tômaên tôl an ninh traât tö apung naê ma kon koâng","Công an tỉnh ứng dụng công nghệ thông tin để tuyên truyền, nâng cao cảnh giác trong đồng bào dân tộc thiểu số, giúp đồng bào nắm bắt thông tin về an ninh, trật tự và chủ động phòng ngừa, đảm bảo an ninh trật tự vùng đồng bào dân tộc thiểu số."
"Koâng an tinh, ‘Boâ chi huy ‘Boâ ñoâi ‘Bieân phong tinh, Sô Lao ñoâng – Thöông ‘binh oeêng Xa hoâi, Sô Noâng nghieâp oeêng pôjing cham pôlei,","Công an tỉnh, Bộ Chỉ huy Bộ đội Biên phòng tỉnh, Sở Lao động - Thương binh và Xã hội, Sở Nông nghiệp và Phát triển nông thôn,"
Koâng an tinh:,Công an tỉnh:
"Koâng an tinh: Pôgôl löêk löông canh sat trong naêm oeêng koâng an rim cham pôlei adriêng löêk löông thuê y lôêm tôdrong kieâm jiêt xem rong lôêm rim tram kieâm jiêt ñôêu moâÊi giao thoâng oeêng ngoê hnheêi tôdrong cheêp chô, teêch bôdro, ‘beêt pah xem rong, san phaâm xem rong oeêng chaê yuoâ ñoâ kôêm lôêm kiêa rong lôêm rim cham pôlei jônang ñei pôtho khan","Công an tỉnh: Chỉ đạo lực lượng Cảnh sát giao thông và công an các địa phương phối hợp lực lượng Thú y trong công tác kiểm dịch động vật tại các trạm kiểm dịch đầu mối giao thông và kiểm tra hoạt động vận chuyển, mua bán, giết mổ động vật, sản phẩm động vật và sử dụng chất cấm trong chăn nuôi tại các địa phương khi được đề nghị."
"Koâng an tinh: Pôgôl löêk löông kanh sat trong naêm oeêng Koâng an rim cham pôlei adriêng löêk löông thuê y lôêm tôdrong naêm ngoê hnheêi xem rong lôêm rim tram ngoê hnheêi ñôu moâÊi trong naêm, ngoê hnheêi tôdrong cheêp chô, teêch bôdro, ‘bet pah xem rong, san phaâm xem rong, chaê yuoâ chaât kôêm lôêm kiêa rong, moâi tröông kiêa rong oeêng xö lyê rim tôdrong pôm glaêi","Công an tỉnh: Chỉ đạo lực lượng cảnh sát giao thông và Công an các địa phương phối hợp lực lượng thú y trong công tác kiểm dịch động vật tại các trạm kiểm dịch đầu mối giao thông, kiểm tra hoạt động vận chuyển, mua bán, giết mổ động vật, sản phẩm động vật, sử dụng chất cấm trong chăn nuôi, môi trường chăn nuôi và xử lý các trường hợp vi phạm."
"Koâng an tinh: Tôjung pôm oeêng pôm rim tôdrong jö vei, tômaên tôl an ninh, an toan aên maêng tôjroh","Công an tỉnh: Xây dựng và thực hiện các phương án bảo vệ, bảo đảm an ninh, an toàn cho kỳ thi."
"Koâng ngheâ anao lôêm jö vei, pôm noâng san: koâng ngheâ ‘bao anung khiê kueân  kieâm soat; koâng ngheâ jö vei tônghieât ranh keâÊt hôêp adriêng chaât hôêp thu etylen söê jö vei hla ‘nhem, pleêi, aseêch, kôtaêp","Công nghệ mới trong bảo quản, chế biến nông sản: công nghệ bao gói khí quyển kiểm soát; công nghệ bảo quản lạnh nhanh kết hợp với chất hấp thụ etylen để bảo quản rau, hoa, quả tươi; công nghệ tạo màng trong bảo quản rau, quả, thịt, trứng."
"Koâng ngheâ chieâÊu xa, koâng ngheâ xö lyê hôi ñak toê, koâng ngheâ xö lyê ñak toê, koâng ngheâ saâÊy tôngheât, saâÊy thaêng hoa, saâÊy chaân khoâng lôêm pôm, jö vei noâng san","Công nghệ chiếu xạ, công nghệ xử lý hơi nước nóng, công nghệ xử lý nước nóng, công nghệ sấy lạnh, sấy thăng hoa, sấy chân không trong chế biến, bảo quản nông sản."
"Koâng ngheâ chruêh amaên ñak (chruêh phun, chruêh nho giot, chruêh ngaâm), keâÊt hôêp ‘yinh ‘yöông lôêm kanh tak ‘long pôtaêm ôêi tôdrong ñieâu khieân kôdih thoi ‘ban tö ñoâng","Công nghệ tưới tiết kiệm nước (tưới phun, tưới nhỏ giọt, tưới ngầm), kết hợp dinh dưỡng trong canh tác cây trồng có hệ thống điều khiển tự động hoặc bán tự động."
Koâng ngheâ jö vei teâ ‘bao arih (Cell Alive System) lôêm jö vei aseêch arih; koâng ngheâ cheâÊ ‘bieâÊn aseêch ap löêk thuy tinh; koâng ngheâ cheâÊ ‘bieâÊn aseêch ap löêk thuy ñoâng löêk,Công nghệ bảo quản tế bào sống (Cell Alive System) trong bảo quản thịt sống; công nghệ chế biến thịt áp lực thủy tĩnh; công nghệ chế biến thịt áp lực thủy động lực.
"Koâng ngheâ kanh tak biê chaê yuoâ teh: thuy kanh, khiê kanh, öôm, pôtaêm ‘long lôêm giaê theâ, mang yinh yöông","Công nghệ canh tác không dùng đất: thủy canh, khí canh, ươm, trồng cây trên giá thể, màng dinh dưỡng."
"Koâng ngheâ kiêa rong amaên ñak, taêi chaê yuoâ ñak, kiêa rong tuaân hoan","Công nghệ chăn nuôi tiết kiệm nước, tái sử dụng nước, chăn nuôi tuần hoàn."
"Koâng ngheâ kô giôêi hoêa, tö ñoâng hoêa; Lôêm khai thak, phaân loai laâm san bri pôtaêm, lôêm roâp thuy san, lôêm choh jang thu ‘yoêk jö vei ñôêng roêng thu ‘yoêk noâng laâm san","Công nghệ cơ giới hóa, tự động hóa: Trong khai thác, phân loại lâm sản rừng trồng, trong đánh bắt thủy sản; trong sản xuất, thu hoạch, bảo quản sau thu hoạch nông lâm sản."
"Koâng ngheâ lai tao adreâÊch keâÊt hôêp koâng ngheâ sinh hoêk phaân tö söê pôm leêch rim adreâÊch ‘long pôtaêm, adreâÊch xem rong, adreâÊch thuy san anao ôêi tôdrong pôgloh (thu ‘yoêk lö, tôdrong thu ‘yoêk ñei hôgeêi, ôêi tôdrong dôêt chiu jiê, thiêch öêng adriêng tôplih pleênh)","Công nghệ lai tạo giống kết hợp công nghệ sinh học phân tử để tạo ra các giống cây trồng, giống vật nuôi, giống thủy sản mới có đặc tính ưu việt (năng suất cao, chất lượng tốt, có khả năng chống chịu bệnh, thích ứng với biến đổi khí hậu)."
"Koâng ngheâ nano lôêm choh jang cheâÊ phaâm: Chaât xö lyê moâi tröông, phôêng ‘boên, bôgang jö vei ‘long pôtaêm, cheâÊ phaâm yinh yöông aên ‘long pôtaêm, xem rong, keo pôteêp ‘long, chaât athu ‘beâ maêt rim san phaâm ‘long","Công nghệ nano trong sản xuất chế phẩm: chất xử lý môi trường, phân bón, thuốc bảo vệ thực vật, chế phẩm dinh dưỡng cho cây trồng, vật nuôi, keo dán gỗ, chất phủ bề mặt các sản phẩm gỗ."
"Koâng ngheâ pôm koâng trinh thuy lôi, koâng ngheâ loêk, kôêp ñak ngam aên apung teh nhieâm aêng, jeâÊ ñak tôsiê, hai ñao","Công nghệ thi công công trình thủy lợi; công nghệ lọc, cấp nước ngọt cho vùng đất nhiễm mặn, ven biển, hải đảo."
"Koâng ngheâ sinh hoêk xö lyê pheâÊ phuê phaâm noâng, laâm, thuy san, xö lyê kôñoh gôdung bôgang jö vei ‘long pôtaêm ñôêng rong chaê yuoâ","Công nghệ sinh học xử lý phế phụ phẩm nông, lâm, thủy sản; xử lý vỏ bao bì thuốc bảo vệ thực vật sau khi sử dụng."
"Koâng ngheâ sinh hoêk, sinh hoêk phaân tö, mieân jiêt hoêk, vi sinh vaât hoêk: Lôêm phong, tri sinh vaât pôm glaêi, jiê glaêi; lôêm giam ñinh, chuaân ñoan jiê pôm glaêi ‘long pôtaêm, xem rong, thuy san; lôêm choh jang bôgang thö, ‘long thö, ñoan moâi, khang theâ chuaân ñoan ranh jiê glaêi ‘long pôtaêm, xem rong, thuy san","Công nghệ sinh học, sinh học phân tử, miễn dịch học, vi sinh vật học: Trong phòng, trị sinh vật gây hại, bệnh hại; trong giám định, chẩn đoán bệnh hại cây trồng, vật nuôi, thủy sản; trong sản xuất thuốc thử, que thử, đoạn mồi, kháng thể chẩn đoán nhanh bệnh hại cây trồng, vật nuôi, thủy sản."
"Koâng ngheâ thaâm kanh, ngoê hnheêi ‘long pôtaêm toâng hôêp (ICM); koâng ngheâ choh jang ‘long pôtaêm, xem rong, thuy san tômaên tôl an toan ñoâ sa; koâng ngheâ rong sieâu thaâm kanh thuy san","Công nghệ thâm canh, quản lý cây trồng tổng hợp (ICM); công nghệ sản xuất cây trồng, vật nuôi, thủy sản đảm bảo an toàn thực phẩm; công nghệ nuôi siêu thâm canh thủy sản."
"Koâng ngheâ thoâng tin: Lôêm choh jang oeêng truy xuaâÊt nguoân tôm san phaâm noâng laâm thuy san; lôêm ‘yöê ‘baêo, tiêch trö, khai thak nguoân ñak; lôêm thu, jö ñak söê tôguêm ñak alöng, thu ‘yoêk tôguêm choh jang noâng nghieâp ña muêk tieâu","Công nghệ thông tin: Trong sản xuất và truy xuất nguồn gốc sản phẩm nông lâm thủy sản; trong dự báo, tích trữ, khai thác nguồn nước; trong thu, trữ nước để cung cấp nước ổn định, hiệu quả phục vụ sản xuất nông nghiệp đa mục tiêu."
"Koâng ngheâ tôjung pôm lôêm tôdrong choh jang teêch bôdro tôjung pôm koâng ngheâ deâh lôêm noâng nghieâp oei nguoân tôm xuaâÊt xöê ro rang, oei lôêm kôbraê ‘yanh muk koâng ngheâ deâh ñei öu tieân tôguêm pôjing kuy ñinh lôêm Ñieâu puoân KueâÊt ñinh anu oeêng ‘yanh muêk koâng ngheâ deâh ñei öu tieân tôguêm pôjing","Công nghệ ứng dụng trong dự án, phương án sản xuất kinh doanh ứng dụng công nghệ cao trong nông nghiệp có nguồn gốc xuất xứ rõ ràng, thuộc Danh mục công nghệ cao được ưu tiên đầu tư phát triển quy định tại Điều 4 Quyết định này và Danh mục công nghệ cao được ưu tiên đầu tư phát triển"
"Koâng ngheâ tö ñoâng hoêa, ‘ban tö ñoâng lôêm choh jang giaê theâ, vaât tö noâng nghieâp, ñoâ jö vei, mang jö vei san phaâm noâng laâm thuy san, mang athu noâng nghieâp, vaât lieâu phu trô aên heâ thoâÊng hnam mang, heâ thoâÊng hnam kiênh, heâ thoâng chruêh; koâng ngheâ hnam kiênh, hnam löôêi, hnam mang ôêi heâ thoâÊng ñieâu khieân kôdih oeêng ‘ban tö ñoâng","Công nghệ tự động hóa, bán tự động trong sản xuất giá thể, vật tư nông nghiệp, chất bảo quản, màng bảo quản sản phẩm nông lâm thủy sản, màng phủ nông nghiệp, vật liệu phụ trợ cho hệ thống nhà màng, hệ thống nhà kính, hệ thống tưới; công nghệ nhà kính, nhà lưới, nhà màng có hệ thống điều khiển tự động hoặc bán tự động."
"Koâng ngheâ tö ñoâng hoêa, ‘ban tö ñoâng lôêm jônang kiêa rong, thaâm kanh rong pôtaêm thuy san, pôtaêm kuy moâ koâng nghieâp; koâng ngheâ tö ñoâng hoêa lôêm ‘beêt pah, cheâÊ ‘bieâÊn, jö vei san phaâm kiêa rong; lôêm ngoê hnheêi, xö lyê moâi tröông rong pôtaêm san phaâm","Công nghệ tự động hóa, bán tự động trong quá trình chăn nuôi, thâm canh nuôi trồng thủy sản, trồng trọt quy mô công nghiệp; công nghệ tự động hóa trong giết mổ, chế biến, bảo quản sản phẩm chăn nuôi; trong kiểm soát, xử lý môi trường nuôi trồng thủy sản."
Koâng ngheâ vaât lieâu anao pôm rim san phaâm ‘long – composite tôdrong thu ‘yoêk ñuoâÊi,Công nghệ vật liệu mới tạo các sản phẩm gỗ - composite chất lượng cao.
"Koâng ngheâ vaât lieâu anao, giai phap keâÊt kôêu anao, thieâÊt ‘biê anao tôguêm pôm koâng trinh thuy lôi","Công nghệ vật liệu mới, giải pháp kết cấu mới, thiết bị mới phục vụ thi công công trình thủy lợi."
"Koâng ngheâ veâ tinh, vieân tham oeêng heâ thoâÊng thoâng tin ñia lyê tôguêm ngoê hnheêi, pôgôl; koâng trinh thuy lôi, khai thak nguoân lôi hai san, kiêa rong, rong pôtaêm thuy san, ngoê hnheêi oeêng pôtho khan mua mang, ngoê hnheêi phong dôêt uênh sa bri, ngoê hnheêi tai ngueân bri, hlih teh ‘bô ñak tôsiê, phong dôêt jiêt jiê ‘long pôttaêm noâng laâm nghieâp","Công nghệ vệ tinh, viễn thám và hệ thống thông tin địa lý phục vụ quản lý, điều hành: Công trình thủy lợi, khai thác nguồn lợi hải sản, chăn nuôi, nuôi trồng thủy sản, giám sát và đánh giá mùa màng, giám sát phòng chống cháy rừng, quản lý tài nguyên rừng, xói lở bờ biển, phòng chống dịch hại cây trồng nông lâm nghiệp."
"Koâng ngheâ ‘bieâÊn tiênh ‘long, koâng ngheâ saâÊy sinh thaêi, koâng ngheâ tong, tôkleêp söê jö vei ‘long, koâng ngheâ sinh hoêk choh jang cheâÊ phaâm jö vei, cheâÊ phaâm phong, dôêt kôtieâl, kômot theâ heâ anao aên san phaâm ‘long","Công nghệ biến tính gỗ, công nghệ sấy sinh thái, công nghệ ngâm, tẩm để bảo quản gỗ; công nghệ sinh học sản xuất chế phẩm bảo quản, chế phẩm phòng, chống mối, mọt thế hệ mới cho sản phẩm gỗ."
Koâng suaâÊt choh jang jôêu thoâ koâng nghieâp: Minh jiêt tôhngam ôbôêu taâÊn lôêm minh sônaêm,Công suất sản xuất dầu thô công nghiệp: 18.000 tấn/năm
"Koâng trinh ke dôt hlih the bô krong bung araê adring pôm trong naêm kôpöng maêt ke sö tôgum tôdrong yaêl arih, choh jang ñông naê ma, pôgop tôdrong cai tao moâi tröông sinh thai rok tuyeân krong bung ñoan yol qua thi traân","Công trình Kè chống xói lở bờ sông Kôn còn kết hợp làm đường giao thông trên mặt kè để phục vụ đời sống, sản xuất của nhân dân, góp phần cải tạo môi trường sinh thái dọc tuyến sông Kôn đoạn chảy qua thị trấn"
Koâng trinh ke dôt hlih the bô krong bung ôi y nghia pôgloh,Công trình Kè chống xói lở bờ sông Kôn có ý nghĩa hết sức quan trọng
"Koâng trinh ke hlih the bô krong bung oei thi traân Vinh Thanh ôi tôdrong ñuoâi jeâ 2,5 km ñông kung Ha Rôn truh Kung Ñinh Binh adring tôdrong khoâi phuk choh jang, jö vei an toan ôkôu oeng kua tômam aên naê ma, pôm tôjul hiong hyôt yua plenh pôm lech, dôt hlih the bô krong, alöng tôdrong ñak yol oeng kjung tôdrong tôhnglaih ñak tih ñông krong bung ñoan qua thi traân Vinh Thanh","Công trình Kè chống xói lở bờ sông Kôn thuộc thị trấn Vĩnh Thạnh có chiều dài gần 2,5km từ cầu Hà Rơn đến cầu Định Bình với mục tiêu khôi phục sản xuất, bảo vệ an toàn tính mạng và tài sản xủa người dân, giảm thiểu rủi ro do thiên tai gây ra, chống xói lở bờ sông, ổn định dòng chảy và tăng khả năng thoát lũ của sông Koon đoạn qua thị trấn Vĩnh Thạnh"
"Koâng trinh kôêp ñieân, kôêp ñak, tôhnglaih ñak oeêng xö lyê ñak tuêk","Công trình cấp điện, cấp nước, thoát nước và xử lí nước thải."
Koâng ty koâ phaân ‘boh oeêng ñoâ sa ‘Binh Ñinh oeêng pôgôl rim kô kuan lieân kuan ôêi tôdrong pôm KueâÊt ñinh anu ñôêng ‘naêr kyê.,Công ty Cổ phần Muối và Thực phẩm Bình Định và Thủ trưởng các cơ quan liên quan chịu trách nhiệm thực hiện Quyết định này kể từ ngày ký.
Koâng ty Ñieân löêk ‘Binh Ñinh: Tômaên tôl nguoân ñieân hôgeêi pôgloh tôguêm rim dônoê pôloêk rim tôdrong lôêm lieân hoan,Công ty Điện lực Bình Định: Bảo đảm nguồn điện tốt nhất phục vụ các địa điểm diễn ra các chương trình trong Liên hoan;
Koâng vaên ksoâÊ tôxiênh khoâng puoân tôhngam-CV/TWÑTN ‘naêr tôxiênh kheêi peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng ‘Ban Chôêp hanh Trung öông Ñoan lôêm tôdrong pôjing anao moâ hinh Hoâi ñoâng ñe hô-yoh thiê ñieâm,Công văn số 9048-CV/TWDTN ngày 09/3/2017của Ban Chấp hành Trung ương Đoàn về việc thành lập mô hình Hội đồng trẻ em thí điểm;
Koâng vaên ksoâÊ ‘baêl jiêt-CV/HÑÑTW ‘naêr minh jiêt kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng Hoâi ñoâng Ñoâi Trung öông lôêm tôdrong pônhroh thiê ñieâm moâ hinh Hoâi ñoâng ñe hô-yoh,Công văn số 20-CV/HĐĐTW ngày 10/2/2017của Hội đồng Đội Trung ương về việc triển khai thí điểm mô hình Hội đồng trẻ em;
"Koâng ñieân khaân ksoâÊ tôpôêh peâng pôñaêm/CÑ-BNN-TY ‘naêr peâng kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ tröông ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong pônhoâm pônhroh pôgloh, adriêng rim tôdrong phong dôêt jiê kuêm ‘yeêr, ôda","Công điện khẩn số 735/CĐ-BNN-TY ngày 03/02/2020 của Bộ trưởng Bộ Nông nghiệp và PTNT về việc tập trung triển khai quyết liệt, đồng bộ các giải pháp phòng, chống bệnh cúm gia cầm;"
Koâng öôêk ñôêng Lieân Hôêp KuoâÊc lôêm Kueân ñe hô-yoh,Công ước của Liên Hợp Quốc về Quyền trẻ em;
Koâng ‘boâÊ danh sach thiê sinh duh tôdrong tôjroh,Công bố danh sách thí sinh đủ điều kiện dự thi
"Koêch rim truêk tieâu tômaên tôl biê lôngôêp, tôhnglaêih ñak tih","Nạo vét, khơi thông các trục tiêu bảo đảm tiêu úng, thoát lũ"
Koêch trong ñak ‘yoêl lôêm ñak krong tômaên tôl tôdrong tôhnglaêih ñak,Khơi thông dòng chảy trên sông bảo đảm việc thoát lũ
"Koêch trong ‘yoêk ñak rim tram ‘boâm, koâng, trong möông","Nạo vét cửa lấy nước các trạm bơm, cống, kênh mương"
"Koăng  pơm rim đê an pơjing 03 nganh chê 'biên nông san sư̌ pơđach  mut lơm sô 5 têh đak pơ tơm  lơm thê yơi  gah: Hla 'nhem, bum; plei, hai san; kơjrăk păng đô pơm đưng 'long kơjrăk, pơ đam Kơpal Kơpal Têh đak lơm kuy IV sơnăm 2020.","Khẩn trương xây dựng các đề án phát triển 03 ngành chế biến nông sản để phấn đấu đứng trong số 5 nước hàng đầu thế giới về: Rau, củ, quả; thủy, hải sản; gỗ và sản phẩm từ gỗ, trình Thủ tướng Chính phủ trong quý IV năm 2020."
"Koăng pơnhroh pơm rim tơdrong đei Chinh phu, Kơpal têh đak pơjao rim văn 'ban ơi liên kuan truh tơdrong dǐ kông nghiêp chê 'biên, vĕi jư nông san păng kơ yơi hoa choh kang nông nghiêp.","Khẩn trương triển khai thực hiện các nhiệm vụ được Chính phủ, Thủ tướng giao tại các văn bản có liên quan đến hoạt động của công nghiệp chế biến, bảo quản nông sản và cơ giới hóa sản xuất nông nghiệp."
"Kông 'bô̆ kêt kua xet rơih tơ kông thông tin điê̆n tư dĭ UBND tinh xưm tơ 'Băo 'Binh Đĭnh, Đai phat thanh xưm truyên hinh 'Binh Đĭnh","Công bố kết quả xét chọn trên Cổng thông tin điện tử của UBND tỉnh và trên Báo Bình Định, Đài Phát thanh và Truyền hình Bình Định"
"Kông an tinh chi đăo, triên khai rim 'biê̆n phap xư̆ dâ̆t, xư ly̆ drong 'băo lưk adring kon dyŏng xưm đe hyoh kon dyŏng, 'băo lưk tơ cơ sơ yơ̆i","Công an tỉnh chỉ đạo, triển khai các biện pháp ngăn chặn, xử lý hành vi bạo lực với phụ nữ và trẻ em gái, bạo lực trên cơ sở giới"
"Kông nghê̆ dĭ tinh lơm xơnăm đưng yâu pôk xuôn đim đĕi ăl kơjăp, chu iê̆u 'nĕi kông nghiêp khai khoang xưm minh sô̆ nganh chăp tinh̆ thơi vŭ đuô̆i in nganh chê̆ 'biê̆n gô tơgah.","Công nghiệp của tỉnh trong những năm qua phát triển chưa bền vững, chủ yếu là công nghiệp khai khoáng và một số ngành mang tính thời vụ cao như ngành chế biến gỗ ngoài trời."
"Kông nghiê̆p - TTCN, xây yư̆ng","Công nghiệp - TTCN, xây dựng"
"Kông tak thu hut tơmưt đâu tư dĭ tinh ară han chê̆, sô̆ yoanh nghiê̆p pơjing 'nao ơ̆i tăng mă lĕi chu iê̆u 'nĕi yoanh nghiê̆p ken xưm siêu ken.","Công tác thu hút đầu tư của tỉnh còn nhiều hạn chế, số doanh nghiệp thành lập mới có tăng nhưng chủ yếu là doanh nghiệp nhỏ và siêu nhỏ"
