bahnar,vietnamese,reference
Hơ̆m xĭ bu duh lăp kơ đon,Chẳng phải ai cũng đồng ý.,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_3_KT.xlsx
Hưk khan hi bĩ lẽ,Hưk nói nó không biết,Kon Tum\Bảng đặt câu.xlsx
"Hương ưng khĕi hanh đô̆ng yua 'binh đăng yơ̆i duh phong, dâ̆t 'băo lưk kiơ kơ sơ yơ̆i tinh 'Binh Đĭnh xơ năm 2017 (đưng rŏng 'nău krao tăt noh Khĕi hanh đô̆ng)","Hưởng ứng Tháng hành động vì bình đẳng giới và phòng, chống bạo lực trên cơ sở giới năm 2017 (sau đây gọi tắt là Tháng hành động)",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
"Hương ưng khĕi hanh đô̆ng yua 'binh đăng yơ̆i păng phong, dâ̆t 'băo lưk kiơ kơ sơ yơ̆i xơ năm 2017","Hưởng ứng Tháng hành động vì bình đẳng giới và phòng, chống bạo lực trên cơ sở giới năm 2017",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
Hương ư̆ng năr Kuôk tê̆ lê̆ dâng tuk drong 'baŏ lưk kơ kon dră kăn  25/11/2017,Hưởng ứng ngày quốc tế xóa bỏ bạo lực đối với phụ nữ 25/11/2017,Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
Ing Blong hloh kơ bôl tur lăm,Tôi cao nhất lớp,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Ing bi goh reh,Tôi không biết đàn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing blŏng hloh kơlăm,Tôi cao nhất lớp,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing bôh hi oei xa,Tôi thấy nó đang ăn,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx"
Ing bôk păng bă,Tôi đi với cha,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing bôk rah hat rah,Tôi vừa đi vừa hát,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx"
Ing bô̆k,Tôi đi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing bĭ gơh tanh,Tôi không biết đàn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Ing bĭ kơchăng kơhi truh,Tôi không nghĩ rằng nó đến,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing bĭ ngih hi truh,Tôi không nghĩ rằng nó đến,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Ing ji nhŏng hi,Tôi là anh  nó,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing kal kơ pơxrăm,Tôi cần phải học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing krao hi vih,Tôi gọi nó về,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Ing krao hivih,Tôi gọi nó về,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing pơ re hla ar plăt năk păng pôre đĭ bar kơ xâp,Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Ing pơre hla ar plăt năr păng xang pơre klaih bar xâp,Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing truh oă jrâm pơmai,Tôi đến là để gặp chị,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing xang hdrih tonoh puơ̆n hơ nam,Tôi sẽ sống ở đó 4 năm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ing xang hơrih hơău,Tôi đã từng sống ở đây,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Inh Blŏng hơloh kơ lăm,Tôi cao nhất lớp,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh Hrih tơ noh puan hơnăm,Tôi sẽ sống ở đó 4 năm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh Sang juat Hrih tơ âu,Tôi đã từng sống ở đây,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh Săng E Rih tơ noh boih,Tôi đã từng sống ở đây,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Inh bi gơh tanh,Tôi không biết đàn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh blŏng hloh lơ̆m lăm,Tôi cao nhất lớp,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh bôh hi oei xŏng,Tôi thấy nó đang ăn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh bôk,Tôi đi,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx"
Inh bôk hi oei xa,Tôi thấy nó đang ăn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh bôk pang bă,Tôi đi với cha,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Inh bôk păng bă,Tôi đi với cha,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh bô̆k păng băk,Tôi đi với cha,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh bô̆k păng hat rah,Tôi vừa đi vừa hát,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh bĭ gơh pit brŏ,Tôi không biết đàn,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh bĭ tơchăng hi truh,Tôi không nghĩ rằng nó đến,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh bĭ xơ chĕng hi truh,Tôi không nghĩ rằng nó đến,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh duh vă bơhrăm hoc,Tôi cần phải học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh gô E Rih tơ 4 xơ năm,Tôi sẽ sống ở đó 4 năm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Inh gô erih tơ noh puăn hơ năm,Tôi sẽ sống ở đó 4 năm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
Inh gô erih tơnoh puăn hơnăm,Tôi sẽ sống ở đó 4 năm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh ji nhŏng hi,Tôi là anh  nó,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh jĕ 'nhŏng to,Tôi là anh  nó,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh jĭ nhong hi,Tôi là anh  nó,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Inh kal kơ pơ hram,Tôi cần phải học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Inh krao hi vih,Tôi gọi nó về,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx"
Inh kăl pơxrăm,Tôi cần phải học,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh ling wa jo ney lơm tơ trong pơ xram,tôi luôn muốn chiến thắng trong việc học tâp,Kon Tum\Bảng đặt câu.xlsx
Inh pơhe hla ar rim năr păng xeng pơxrăm bar kơxâp,Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh truh oa jĭ jrâm pơmei,Tôi đến là để gặp chị,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh truh va jrơm pơ mai,Tôi đến là để gặp chị,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Inh truh vă jrơm pơmai,Tôi đến là để gặp chị,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Inh xang kăp xa xem rơ mo,tôi đã cắn ăn thịt bò,Kon Tum\Bảng đặt câu.xlsx
Inh xang đêk erih ah âu,Tôi đã từng sống ở đây,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Inh đoc Hla ar pat nar pang xang đoc laih bar xô̆p,Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Ink bôk rah hat rah,Tôi vừa đi vừa hát,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Iơ drong noh bơgơh,Điều đó có thể làm được,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ĭ kiê̆n thao luâ̆n dĭh đăi hô̆i đăi 'biêu Hô̆i đông nhân yan tơ ky hop.,Ý kiến thảo luận của đại biểu Hội đồng nhân dân tại kỳ họp.,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Jang Hrăng,Làm nhanh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Jang hrăng,Làm nhanh,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
"Jang yak bô̆k niang niat, tơngiue wăr che 'brénh dreng thoi kơdŭ sut.","Nàng bước đi uyển chuyển, lưng thắt kiểu lưng ong.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"Jans mĩnh hlak, ti lơ lap Kơl","Chàn một cái, tay thì nhiều Đằu",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Jar mĩnh teh?,Tỏa khắp trái đất?,Kon Tum\Câu đố\Cau do Bahnar - Trang 22- Trang 37.xlsx
Jên pơm,Kinh phí thực hiện,Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
"Jên pơm kê̆ hoăch đĕi 'bô̆ trĭ lơm yư̆ toăn chi ngân sach teh đak rim xơ năm dĭ rim sơ, nganh, apung cham plĕi kiơ phân kâp ngân sach teh đak hiê̆n hanh","Kinh phí thực hiện Kế hoạch được bố trí trong dự toán chi ngân sách nhà nước hàng năm của các sở, ngành, địa phương theo phân cấp ngân sách nhà nước hiện hành",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
"Jră deh drong huy đô̆ng rim nguôn lưc va triên khai khĕi hanh đô̆ng, kiơ gưm ăn bơ ngai 'tro 'băo lưk, xâm hăi, đe dră kăn, đe haich unh hnam hrap tơ naptap","hỗ trợ cho nạn nhân bị bạo lực, phụ nữ, trẻ em có hoàn cảnh khó khăn, xâm hại, Đẩy mạnh việc huy động các nguồn lực để triển khai Tháng hành động",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
"Jră deh drong năm tư̆u kiơ ja, tra đam, yăo yuk phap luâ̆t lơm 'Binh đăng yơ̆i păng phong dât 'băo lưk","giáo dục pháp luật về bình đẳng giới và phòng chống bạo lực, tuyên truyền, Đẩy mạnh phổ biến",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
"Jră deh drong tư̆u tơ ja tra đam tơ sŏng phat thanh, truyên hinh păng 'Băo 'Binh Đĭnh wă tăo đông thuâ̆n dĭh xa hô̆i","truyền hình và Báo Bình Định nhằm tạo sự đồng thuận của xã hội, Đẩy mạnh công tác tuyên truyền trên sóng phát thanh",Kon Tum\Văn bản phát thanh\VH-TT bai 08.xlsx
"Jrâm bơngai jĭ jăn, hin dơnuh hloh kơ hăp, đei kiơ hăp duh hơxong păng gủm dăp hrŏk.","Gặp người đau yếu, Hơ- rít nhường cơm xẻ áo, giúp đỡ tận tình., nghèo khổ hom mình",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"Jrâm ier, ier duh joh, jrâm kŏ, kŏ duh kăp.","Cho đến gà gặp cũng mổ, chó gặp cũng cắn.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"Jrâm sơnăm tô̆ phang pơđăng, kon bơngai, kon kiĕk hal kơ đak, hla 'long jô kro, Kĭt Drŏk sang hơdrin wă gơh đei 'mi jur tơ teh, wă kon bơngai, kon kiek gơh đei đak et, wă 'ba gơh nhơk 'lâng.","Gặp nãm hạn hán kéo dài, Tam-cứ-tróc đã cô gắng dồn mưa tới cho người, cho ruộng đồng trở lại xanh tươi., cây cối héo vàng, người, vật khan nước uống, vật đủ nước uống",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"Jur gơh (kơh), tỗk ưh?",Xuống thi được nhưng lên thì chịu?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Jâng (jơng) puan (puăn, puon) hlak Măt loi hrẽng?",Chân bốn cái Mắt cà trăm?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Jâng lẽ bip Sẽch lẽ kơpô
Kâl lẽ kơ bih?",Chân giống vịt Thịt tựa trâu Đầu như rắn?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Jâng mĩnh hlak Klak sech Sa hă, sa hăp?","Chân chỉ có một cái Bụng nó thì lại eo Ăn nôn, ăn là nôn?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Jên hi đei, mah hi duh đei","Tiền nó có, vàng nó cũng có",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Jên hi đơi mah hi duh đơi,"Tiền nó có, vàng nó cũng có",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
"Jên hi đơi, mah hi duh đơ̆i","Tiền nó có, vàng nó cũng có",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
"Jên hi đơi, meh nui duh dơi","Tiền nó có, vàng nó cũng có",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
"Jô truh năr 31/12/2019, 100% chi bộ trực thuộc đảng bộ xã Vĩnh Thuận xang pơm thành công đại hội chi bộ nhiệm kì 2020-2022","100% chi bộ trực thuộc Đảng bộ xã Vĩnh Thuận đã tổ chức thành công đại hội chi bộ nhiệm kỳ 2020 - 2022, Tính đến ngày 31.12.2019",Kon Tum\Văn bản phát thanh\TT-CS bai 05.xlsx
"Jôraê deâh, anh em ơi","Tiến lên, anh em ơi!",Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_2_KT.xlsx
Jôrăn dêh tơdrong xa hôi hoa dơ̆ng tơdrong krao akơm tơdrong tơ gŭm nă ma cham pơlei wă tơ gŭm ăn ŭnh hnam nă ma đei kơng đei tơdrong hrat tơnap kơjung dĭ dơnuh,"dân cư nđei cư trú để hỗ trợ cho hộ gia đình người có công có hoàn cảnh khó khăn vươn lên thoát nghèo, Đẩy mạnh công tác xã hội hóa bằng việc huy động sự giúp đỡ của cộng đồng",Kon Tum\Văn bản phát thanh\KT-XH bai 06.xlsx
Jĕ to jĭ kong,Đằng kia là núi,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Jĕ âu ji mir na,Ở đây là ruộng,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Jĕ âu ji na,Ở đây là ruộng,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Jĕ âu mir na,Ở đây là ruộng,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Jơ hngâm hơđơ̆ng,Quả cảm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Jơ hngâm pran (Hơđơ̆ng),Quả cảm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Jơhơ̆m HĐơ̆ng,Quả cảm,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Jơk kông 'bô̆ tơ Kuyê̆t đĭnh sô̆ 1307/QĐ-UBND ngày 12 tháng 4 năm 2017 dĭh Chu tich Uy 'ban nhân yân tinh  (Phŭ luk 02 kem kiơ̆).,Đã công bố tại Quyết định số 1307/QĐ-UBND ngày 12 tháng 4 năm 2017 của Chủ tịch Ủy ban nhân dân tỉnh (Phụ lục 02 kèm theo).,Kon Tum\Văn bản phát thanh\VH-TT bai 10.xlsx
Jơng (jâng) puan (puon) hlak Yak adơi adơi mă ei kuăng?,"Bốn chân cùng bước
Mà lại nhanh đều?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Jơră dêh tơdrong dân sô kê hoach hoa uênh hnam năm truh xa hôi hoa lơ̆m tơdrong dân sô tơguêm Vinh Kim pơm păng keh kong tơdrong pơjing kinh tê văn hoa xa hôi, tuêk bơngot dơnuh đơ̆ng cham pơlei.","giảm nghèo của địa phương., xóa đói, Đẩy mạnh cơng tác DS-KHHGĐ tiến tới xã hội hoá về cơng tác dân số giúp Vĩnh Kim thực hiện và hoàn thành nhiệm vụ phát triển kinh tế-văn hóa xã hội",Kon Tum\Văn bản phát thanh\TT-CS bai 01.xlsx
Jỡng yak ktôih bơm?,Chân bước vấp phải nó?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Jỡng, kỡl đĩ hiong Oẽi hơlõng păng ti Bỗk tơyơ duh truh?","Chân, tay Đi đâu cũng tới?, đầu mất cả Còn lại cổ",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Ka glơi lơm đak,Cá bơi dưới nước,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx
Ka glơi tur đak,Cá bơi dưới nước,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx
Ka glơi tơđak,Cá bơi dưới nước,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_6_KT.xlsx
Ka glơi tơđŭ đak,Cá bơi dưới nước,Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx
Ka lcnn kơ đak ưh kơ đẽi kơting?,Cả trong nước không xươììg?,Kon Tum\Câu đố\Cau do Bahnar - Trang 22- Trang 37.xlsx
Ka thu,Cá thu,"Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_1_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_4_KT.xlsx, Kon Tum\Điền dã\Ngữ pháp\Bang_ngu_phap_5_KT.xlsx"
Ka ưh kơ đẽi kơting?,Cá không có xương?,Kon Tum\Câu đố\Cau do Bahnar - Trang 22- Trang 37.xlsx
Kang sa kang hkẽ (hơkẽ),Càng ăn càng gầy?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Kang sa kang trõk Gõk đẽch anoh khĩ?,Càng ăn càng bứu Ngừng ăn không thôi?,Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
"Kân đô̆i, 'bô̆ trĭ jên đĭa phương wă phuk vŭ ăn drong pơ tâp ngoăi khŏa môn bjo kô truyên 'Binh Đĭnh tơ đĭa 'ban tĭa phân kâp gô răp ngân sach kơ pal teh đak hiê̆n hanh.","Cân đối, bố trí ngân sách địa phương để phục vụ công tác giảng dạy ngoại khóa môn võ cổ truyền Bình Định trên địa bàn theo phân cấp quản lý ngân sách nhà nước hiện hành.",Kon Tum\Văn bản phát thanh\VH-TT bai 08.xlsx
"Kâp tinh, pơ jao Sơ Lao đô̆ng - Thương 'binh păng xa hô̆i chu tri, phô̆i hơp kơ Uy 'ban nhân yân kiơ ring Tây Sơn","Cấp tỉnh, giao Sở Lao động - Thương binh và Xã hội chủ trì, phối hợp với Ủy ban nhân dân huyện Tây Sơn",Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
Kăn kư̆ Kuyêt đĭnh sô̆ 2997/QĐ-UBND năr 26 khĕi 8 xơ năm 2019 dĭh Uy 'ban nhân yân tinh,Căn cứ Quyết định số 2997/QĐ-UBND ngày 26 tháng 8 năm 2019 của Ủy ban nhân dân tỉnh,Kon Tum\Văn bản phát thanh\VH-TT bai 10.xlsx
Kăn kư̆ Luâ̆t 'ban hanh văn 'ban kuy pham phap luâ̆t năr 22 khĕi 6 xơ năm 2015;,Căn cứ Luật ban hành văn bản quy phạm pháp luật ngày 22 tháng 6 năm 2015;,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Kăn kư̆ Luâ̆t ngân sach nha nươk năr 25 khĕi 6 xơ năm 2015;,Căn cứ Luật ngân sách nhà nước ngày 25 tháng 6 năm 2015;,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Kăn kư̆ Luâ̆t tô chưk chĭnh kuyên cham plĕi năr 19 khĕi 6 xơ năm 2015;,Căn cứ Luật tổ chức chính quyền địa phương ngày 19 tháng 6 năm 2015;,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Kăn kư̆ Luâ̆t tô chưk chĭnh kuyên đĭa phương năr 19 khĕi 6 xơ năm 2015,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19 tháng 6 năm 2015;,Kon Tum\Văn bản phát thanh\VH-TT bai 10.xlsx
Kăn kư̆ Nghĭ đĭnh sô̆ 52/2018/NĐ-CP năr 12 khĕi 4 xơ năm 2018 dĭh chinh phu lơm tơ 'yung nganh nghê cham plĕi;,Căn cứ Nghị định số 52/2018/NĐ-CP ngày 12 tháng 4 năm 2018 của Chính phủ về phát triển ngành nghề nông thôn;,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
Kăn kư̆ Nghĭ đĭnh sô̆ 63/2010/NĐ-CP năr 08 khĕi 6 xơ năm 2010 dĭh Chĭnh phu lơm kiêm soat thu tuk hanh chĭnh;,Căn cứ Nghị định số 63/2010/NĐ-CP ngày 08 tháng 6 năm 2010 của Chính phủ về kiểm soát thủ tục hành chính;,Kon Tum\Văn bản phát thanh\VH-TT bai 10.xlsx
Kăn kư̆ Nghĭ đĭnh sô̆ 86/2015/NĐ-CP năr 02 khĕi 10 xơ năm 2015 dĭhh chĭnh phu,Căn cứ Nghị định số 86/2015/NĐ-CP ngày 02 tháng 10 năm 2015 của Chính phủ,Kon Tum\Văn bản phát thanh\VH-TT bai 06.xlsx
"Kăn kư̆ drong chĭnh sach dĭh đĭa phương, tham mưu UBND tinh ô̆ trĭ jên pơm chương trinh chĕp môn bjo kô truyên 'Binh Đĭnh mưt trương hok tĭa phân kâp gô răp ngân sach hiê̆n hanh;","Căn cứ tình hình ngân sách địa phương, tham mưu UBND tỉnh bố trí kinh phí thực hiện chương trình đưa môn võ cổ truyền Bình Định vào trường học theo phân cấp quản lý ngân sách hiện hành;",Kon Tum\Văn bản phát thanh\VH-TT bai 08.xlsx
Kăn kư̆ kê̆ hoach thơi yan xơ năm pơxrăng đĕi kâp thâm kuyên phê yuiêt gah pơxrăng ky II xơ năm pơxrăng 2019 - 2020 (hơ plih yua drong pơ nang jĭ Covid 19),Căn cứ kế hoạch thời gian năm học được cấp thẩm quyền phê duyệt đối với học kỳ II năm học 2019 - 2020 (thay đổi do diễn biến của tình hình dịch bệnh Covid 19),Kon Tum\Văn bản phát thanh\VH-TT bai 06.xlsx
Kăn kư̆ kuyêt đĭnh sô̆ 55/2015/QĐ-UBND năr 25 khĕi 12 xơnăm 2015 dĭhh UBND tinh,Căn cứ Quyết định số 55/2015/QĐ-UBND ngày 25/12/2015 của UBND tỉnh,Kon Tum\Văn bản phát thanh\VH-TT bai 06.xlsx
Kăn kư̆ luâ̆t Ngân sach teh đak sô̆ 01/2002/QH11 năr 16/12/2002;,Căn cứ Luật Ngân sách nhà nước số 01/2002/QH11 ngày 16/12/2002;,Kon Tum\Văn bản phát thanh\VH-TT bai 06.xlsx
Kăn kư̆ luâ̆t Tô chưk chĭnh kuyên apung cham plĕi năr 19/6/2015,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19/6/2015,Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
Kăn kư̆ luâ̆t tô chưk chĭnh kuyên apung cham plĕi năr 19/6/2015,Căn cứ Luật Tổ chức chính quyền địa phương ngày 19/6/2015;,Kon Tum\Văn bản phát thanh\VH-TT bai 06.xlsx
"Kăn kư̆ thông tư sô̆ 02/2017/TT-VPCP năr 31 khĕi 10 xơ năm 2017 dĭh 'Bô̆ trương, chu nhiê̆m Văn phong Chĭnh phu bơ tho nghiê̆p vŭ lơm kiêm soat thu tuk hanh chĭnh;","Chủ nhiệm Văn phòng Chính phủ hướng dẫn nghiệp vụ về kiểm soát thủ tục hành chính;, Căn cứ Thông tư số 02/2017/TT-VPCP ngày 31 tháng 10 năm 2017 của Bộ trưởng",Kon Tum\Văn bản phát thanh\VH-TT bai 10.xlsx
"Kê̆ hoach  khĕi hanh đô̆ng  xơ năm 2017 lơm chu đê "" tơ gopty dâ̆t tuô̆ch drong 'băo lưk kơ đe kon dră kăn păng đe hyoh kon dră kăn""",Kế hoạch Tháng hành động năm 2017 với chủ đề “Chung tay chấm dứt bạo lực đối với phụ nữ và trẻ em gái”,Kon Tum\Văn bản phát thanh\VH-TT bai 05.xlsx
Khan ih kuă song por mă sa teh thoi noh?,"Lúc ăn thấy người pô ăn đất, anh nhà giàu lấy làm lạ mới hỏi: Saopô không ăn cơm lại ăn đất? Người pô trả lời: Tôi đây mới thật ăn cơm, còn anh thời ăn đất.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Khei puih tơnget sơnăm dâng rong mĕ Bia lôch.,Mùa đông nãm sau nữ thần Hơ-ra Hơ-rung chết.,Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
Khing khốp kơtốp (kơjơp) sa đe?,"Khép mở, đớp ăn người ta?",Kon Tum\Câu đố\Cau do Bahnar - Trang 44- Trang 210.xlsx
Khŏa XII ky hop 'măng mă 9,Khóa XII kỳ họp thứ 9,Kon Tum\Văn bản phát thanh\VH-TT bai 07.xlsx
"Khui lĭnh 'bôh tơdăm Kĭt Drŏk bĭ 'yŭ, đe hăp kơlŭng wă rôp jô̆ hăp.","Quân lính thấy Tam-cứ-tróc ngang ngược, bèn xúm lại bắt trói.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
"Khui lĭnh 'yŭ krê wih tơ plenh pơră kơ 'Bok Rơh hơpĭnh 'Bok Rơh jur tơ teh pơma păng 'bok ie arăk kâl, chŏng bĭ gơh wă rôp 'nhăk hăp wih tơ plenh.","Bọn quân lính nhà trời kinh hoảng về tâu với Bot Rot và xin kiệu Bot Rot xuống trần nói chuyện với chú tí hon cứng đầu đó, chứ không thể bắt chú về trời được.",Kon Tum\Sử thi Homon\Homon Bahnar.xlsx
